UAI,Sigle,Nom Archipel,Nom complet (Archipel),Nom complet,PAS.1.Collège de rattachement,PAS.1.Dénomination principale,PAS.1.Dénomination complémentaire,Education prioritaire (Archipel),Territoire,Adresse,PAS.1.Lieu dit,Code Postal,Ville,IPS,ULIS,Degré,Secteur,Mail,Téléphone,Chef d'établissement,PAS.1.Hébergement,Circonscription,PAS,Nom du PAS,Bassin,Secteur SEGPA,Secteur ERSEH,ERSEH,PIAL,Effectifs ens. Adapté,Effectifs (Archipel),PAS.1.Effectifs,Latitude,Longitude,Lat Moyen Secteur,Long Moyen Secteur,Indice d'éloignement
0672777E,"E.E.PU ",ECOLE PRIMAIRE REPUBLIQUE,ECOLE PRIMAIRE REPUBLIQUE BISCHHEIM,ECOLE PRIMAIRE PUBLIQUE REPUBLIQUE BISCHHEIM,COLLEGE LE RIED,"ECOLE PRIMAIRE PUBLIQUE ","REPUBLIQUE ",Hors EP,,Place de la République,,67800,BISCHHEIM,0,1,1er degré,Public,ce.0672777E@ac-strasbourg.fr,0388331260,,,EUROMETROPOLE NORD,Alice Daul,Alice Daul,EUROMETROPOLE,BISCHHEIM Le Ried,STRASBOURG NORD 1,DUBOIS PAQUET Emmanuelle,PIAL_0670004R,,388,427,48.61314389,7.757404848,"48,61816177","7,760710749",0.608590841
0671070Z,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE MULHAUSEN,ECOLE DES CLES DE CHAMPS MULHAUSEN,COLLEGE OLYMPE DE GOUGES,"ECOLE DES CLES DE CHAMPS ",,Hors EP,,1 rue de la Mairie,,67350,MULHAUSEN,0,0,1er degré,Public,ce.0671070Z@ac-strasbourg.fr,0388893675,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,BOUXWILLER Le Bastberg,OUEST 3,PAILLE Mathieu,PIAL_0671065U,,48,66,48.88210303,7.552111649,"48,86983648","7,269517905",20.71157531
0671069Y,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE MENCHHOFFEN,ECOLE PRIMAIRE PUBLIQUE MENCHHOFFEN,COLLEGE OLYMPE DE GOUGES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,49 rue Principale,,67340,MENCHHOFFEN,0,0,1er degré,Public,ce.0671069Y@ac-strasbourg.fr,0388896668,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,BOUXWILLER Le Bastberg,OUEST 3,PAILLE Mathieu,PIAL_0671065U,,59,47,48.85969346,7.494554932,"48,86983648","7,269517905",16.49966454
0671084P,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE UTTWILLER,ECOLE PRIMAIRE PUBLIQUE UTTWILLER,COLLEGE OLYMPE DE GOUGES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,2 rue d'Ingwiller,,67330,UTTWILLER,0,0,1er degré,Public,ce.0671084P@ac-strasbourg.fr,0388713112,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,BOUXWILLER Le Bastberg,OUEST 3,PAILLE Mathieu,PIAL_0671065U,,23,19,48.84774117,7.487718238,"48,86983648","7,269517905",16.15085108
0670510R,"E.P.PU ",ECOLE PRIMAIRE PUBLIQUE,ECOLE PRIMAIRE PUBLIQUE REIPERTSWILLER,ECOLE PRIMAIRE PUBLIQUE REIPERTSWILLER,COLLEGE SUZANNE LALIQUE-HAVILAND,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,8 rue des Ecoles,,67340,REIPERTSWILLER,0,0,1er degré,Public,ce.0670510R@ac-strasbourg.fr,0388899049,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,BOUXWILLER Le Bastberg,OUEST 3,PAILLE Mathieu,PIAL_0671065U,,137,191,48.93283323,7.46393348,"48,86983648","7,269517905",15.84344672
0671065U,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE INGWILLER,ECOLE PRIMAIRE PUBLIQUE INGWILLER,COLLEGE OLYMPE DE GOUGES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,2 A rue des Ecoles,,67340,INGWILLER,0,1,1er degré,Public,ce.0671065U@ac-strasbourg.fr,0388894630,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,BOUXWILLER Le Bastberg,OUEST 3,PAILLE Mathieu,PIAL_0671065U,,377,381,48.87411206,7.474380508,"48,86983648","7,269517905",14.99073012
0670480H,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE KIRRBERG,ECOLE PRIMAIRE PUBLIQUE KIRRBERG,COLLEGE DES RACINES ET DES AILES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,41 grand'rue,,67320,KIRRBERG,0,0,1er degré,Public,ce.0670480H@ac-strasbourg.fr,0388019022,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,16,16,48.82277408,7.063279144,"48,86983648","7,269517905",15.97313177
0670035Z,"CLG ",COLLEGE OLYMPE DE GOUGES,COLLEGE OLYMPE DE GOUGES INGWILLER,COLLEGE OLYMPE DE GOUGES INGWILLER,COLLEGE OLYMPE DE GOUGES,"COLLEGE ","OLYMPE DE GOUGES ",Hors EP,,4 rue du gymnase,,67340,INGWILLER,97.2,1,2nd degré,Public,ce.0670035Z@ac-strasbourg.fr,0388894424,SANDRINE BOLLMANN,SANS INTERNAT AVEC DEMI PENSION,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,,OUEST 3,PAILLE Mathieu,PIAL_0671065U,,275,301,48.87385137,7.470802258,"48,86983648","7,269517905",14.72829032
0671076F,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE NIEDERSOULTZBACH,ECOLE PRIMAIRE PUBLIQUE NIEDERSOULTZBACH,COLLEGE OLYMPE DE GOUGES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,10 rue de l'Eglise,,67330,NIEDERSOULTZBACH,0,0,1er degré,Public,ce.0671076F@ac-strasbourg.fr,0388894739,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,BOUXWILLER Le Bastberg,OUEST 3,PAILLE Mathieu,PIAL_0671065U,,19,22,48.85021545,7.467429199,"48,86983648","7,269517905",14.64170705
0670466T,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE BAERENDORF,ECOLE MATERNELLE PUBLIQUE BAERENDORF,COLLEGE DES RACINES ET DES AILES,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,2 rue de l'Ecole,,67320,BAERENDORF,0,0,1er degré,Public,ce.0670466T@ac-strasbourg.fr,0388019490,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,,OUEST 5,NEGELE Lucie,PIAL_0670463P,,10,18,48.83801861,7.085301496,"48,86983648","7,269517905",13.93465832
0670484M,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE RAUWILLER,ECOLE MATERNELLE PUBLIQUE RAUWILLER,COLLEGE DES RACINES ET DES AILES,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,48 rue Principale,,67320,RAUWILLER,0,0,1er degré,Public,ce.0670484M@ac-strasbourg.fr,0388019159,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,,OUEST 5,NEGELE Lucie,PIAL_0670463P,,25,20,48.8118036,7.10696636,"48,86983648","7,269517905",13.53354425
0670470X,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE BURBACH,ECOLE PRIMAIRE PUBLIQUE BURBACH,COLLEGE DES RACINES ET DES AILES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,4 place du Tilleul,,67260,BURBACH,0,0,1er degré,Public,ce.0670470X@ac-strasbourg.fr,0388013267,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,20,19,48.90140966,7.112453173,"48,86983648","7,269517905",12.00887314
0670479G,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE HIRSCHLAND,ECOLE ELEMENTAIRE PUBLIQUE HIRSCHLAND,COLLEGE DES RACINES ET DES AILES,"ECOLE ELEMENTAIRE PUBLIQUE ",,Hors EP,,21 rue de la Poste,,67320,HIRSCHLAND,0,0,1er degré,Public,ce.0670479G@ac-strasbourg.fr,0388019721,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,19,15,48.83726044,7.112265799,"48,86983648","7,269517905",12.06204512
0672910Z,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE WINGEN SUR MODER,ECOLE PRIMAIRE PUBLIQUE WINGEN SUR MODER,COLLEGE SUZANNE LALIQUE-HAVILAND,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,9 rue de Zittersheim,,67290,WINGEN SUR MODER,0,0,1er degré,Public,ce.0672910Z@ac-strasbourg.fr,0388897033,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,BOUXWILLER Le Bastberg,OUEST 3,PAILLE Mathieu,PIAL_0671065U,,150,130,48.91869347,7.371709992,"48,86983648","7,269517905",9.237210806
0671739B,"CLG ",COLLEGE SUZANNE LALIQUE HAVILAND,COLLEGE SUZANNE LALIQUE HAVILAND WINGEN SUR MODER,COLLEGE SUZANNE LALIQUE-HAVILAND WINGEN SUR MODER,COLLEGE SUZANNE LALIQUE-HAVILAND,"COLLEGE ","SUZANNE LALIQUE-HAVILAND ",Hors EP,,29 route de Zittersheim,,67290,WINGEN SUR MODER,99.5,0,2nd degré,Public,ce.0671739B@ac-strasbourg.fr,0388897005,STEPHANE METZ,SANS INTERNAT AVEC DEMI PENSION,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,,OUEST 3,PAILLE Mathieu,PIAL_0671065U,,236,215,48.91609479,7.367104895,"48,86983648","7,269517905",8.795211511
0670468V,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE BERG,ECOLE MATERNELLE PUBLIQUE BERG,COLLEGE DES RACINES ET DES AILES,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,39 rue Principale,,67320,BERG,0,0,1er degré,Public,ce.0670468V@ac-strasbourg.fr,0388017508,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,25,35,48.89550301,7.154064328,"48,86983648","7,269517905",8.911574883
0672961E,"E.E.PU ",ECOLE ELEMENTAIRE,ECOLE ELEMENTAIRE GUNGWILLER,ECOLE ELEMENTAIRE PUBLIQUE GUNGWILLER,COLLEGE DES RACINES ET DES AILES,"ECOLE ELEMENTAIRE PUBLIQUE ",,Hors EP,,7 rue de la Fontaine,,67320,GUNGWILLER,0,0,1er degré,Public,ce.0672961E@ac-strasbourg.fr,0388007328,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,9,14,48.88173961,7.158249687,"48,86983648","7,269517905",8.244227572
0670494Y,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE WEYER,ECOLE PRIMAIRE PUBLIQUE WEYER,COLLEGE DES RACINES ET DES AILES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,4 rue des Ecoles,,67320,WEYER,0,0,1er degré,Public,ce.0670494Y@ac-strasbourg.fr,0388007057,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,66,76,48.85417446,7.159489681,"48,86983648","7,269517905",8.235076257
0670485N,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE REXINGEN,ECOLE PRIMAIRE PUBLIQUE REXINGEN,COLLEGE DES RACINES ET DES AILES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,37 rue Principale,,67320,REXINGEN,0,0,1er degré,Public,ce.0670485N@ac-strasbourg.fr,0388017580,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,19,20,48.90118067,7.179337189,"48,86983648","7,269517905",7.458285792
0670508N,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE PFALZWEYER,ECOLE PRIMAIRE PUBLIQUE PFALZWEYER,COLLEGE DES RACINES ET DES AILES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,40 rue Principale,,67320,PFALZWEYER,0,0,1er degré,Public,ce.0670508N@ac-strasbourg.fr,0670166975,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,29,29,48.80537216,7.258696532,"48,86983648","7,269517905",7.21172574
0670469W,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE BETTWILLER,ECOLE PRIMAIRE PUBLIQUE BETTWILLER,COLLEGE DES RACINES ET DES AILES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,26 rue Principale,,67320,BETTWILLER,0,0,1er degré,Public,ce.0670469W@ac-strasbourg.fr,0388006985,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,14,22,48.88472613,7.179043617,"48,86983648","7,269517905",6.820391424
0672980A,"E.P.PU ",ECOLE ELEMENTAIRE PUBLIQUE LE REHTHAL,ECOLE ELEMENTAIRE PUBLIQUE LE REHTHAL ESCHBOURG,ECOLE PRIMAIRE PUBLIQUE LE REHTHAL ESCHBOURG,COLLEGE DES RACINES ET DES AILES,"ECOLE PRIMAIRE PUBLIQUE ","LE REHTHAL ",Hors EP,,Rue Principale,,67320,ESCHBOURG,0,0,1er degré,Public,ce.0672980A@ac-strasbourg.fr,0388701075,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,36,52,48.81658921,7.284508937,"48,86983648","7,269517905",6.021601978
0670464R,"E.E.PU ",ECOLE PRIMAIRE PUBLIQUE,ECOLE PRIMAIRE PUBLIQUE ADAMSWILLER,ECOLE PRIMAIRE PUBLIQUE ADAMSWILLER,COLLEGE DES RACINES ET DES AILES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,28 rue Principale,,67320,ADAMSWILLER,0,0,1er degré,Public,ce.0670464R@ac-strasbourg.fr,0388017567,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,21,24,48.90250313,7.199567511,"48,86983648","7,269517905",6.27318392
0672679Y,"E.M.PU ",ECOLE MATERNELLE,ECOLE MATERNELLE DURSTEL,ECOLE MATERNELLE PUBLIQUE DURSTEL,COLLEGE DES RACINES ET DES AILES,"ECOLE MATERNELLE PUBLIQUE ",,Hors EP,,9 rue Principale,,67320,DURSTEL,0,0,1er degré,Public,ce.0672679Y@ac-strasbourg.fr,0388017407,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,,OUEST 5,NEGELE Lucie,PIAL_0670463P,,41,37,48.89096402,7.19831637,"48,86983648","7,269517905",5.712112923
0670463P,"E.P.PU ",ECOLE PRIMAIRE PUBLIQUE,ECOLE PRIMAIRE PUBLIQUE DRULINGEN,ECOLE PRIMAIRE DRULINGEN,COLLEGE DES RACINES ET DES AILES,"ECOLE PRIMAIRE ",,Hors EP,,Rue de l'Ecole,,67320,DRULINGEN,0,1,1er degré,Public,ce.0670463P@ac-strasbourg.fr,0388006187,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,185,149,48.86818161,7.192608407,"48,86983648","7,269517905",5.628331185
0670014B,"CLG ",COLLEGE DES RACINES ET DES AILES,COLLEGE DES RACINES ET DES AILES DRULINGEN,COLLEGE DES RACINES ET DES AILES DRULINGEN,COLLEGE DES RACINES ET DES AILES,"COLLEGE ","DES RACINES ET DES AILES ",Hors EP,,1 rue du Collège,,67320,DRULINGEN,98.5,1,2nd degré,Public,ce.0670014B@ac-strasbourg.fr,0388006292,MATHILDE PICCOLETTI,SANS INTERNAT AVEC DEMI PENSION,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,,OUEST 5,NEGELE Lucie,PIAL_0670463P,,364,349,48.86753279,7.195290427,"48,86983648","7,269517905",5.435228641
0670465S,"E.E.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE ASSWILLER,ECOLE PRIMAIRE PUBLIQUE ASSWILLER,COLLEGE DES RACINES ET DES AILES,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,10 rue de Durstel,,67320,ASSWILLER,0,0,1er degré,Public,ce.0670465S@ac-strasbourg.fr,0388017779,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,SARRE-UNION Pierre Claude,OUEST 5,NEGELE Lucie,PIAL_0670463P,,18,20,48.8808919,7.219894461,"48,86983648","7,269517905",3.831654223
0670507M,"E.P.PU ",ECOLE PRIMAIRE DE LA PORTE DES VOSGES DU NORD,ECOLE PRIMAIRE DE LA PORTE DES VOSGES DU NORD PETERSBACH,ECOLE PRIMAIRE PUBLIQUE LES CASTORS PETERSBACH,COLLEGE DES RACINES ET DES AILES,"ECOLE MATERNELLE PUBLIQUE ","LES CASTORS ",Hors EP,,6 rue Principale,,67290,PETERSBACH,0,0,1er degré,Public,ce.0670507M@ac-strasbourg.fr,0388704641,,,VOSGES DU NORD,Alsace Bossue,Alsace Bossue,OUEST,,OUEST 5,NEGELE Lucie,PIAL_0670463P,,166,44,48.86962195,7.26790517,"48,86983648","7,269517905",0.12034501
0672799D,"E.P.PU ",ECOLE PRIMAIRE LES COQUELICOTS,ECOLE PRIMAIRE LES COQUELICOTS MOMMENHEIM,ECOLE PRIMAIRE PUBLIQUE MOMMENHEIM,COLLEGE MARCEL WEINUM BRUMATH,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,11 rue de l'Eglise,,67670,MOMMENHEIM,0,0,1er degré,Public,ce.0672799D@ac-strasbourg.fr,0388515370,,,HAGUENAU SUD,BASSE-ZORN,Basse-Zorn,OUEST,BOUXWILLER Le Bastberg,STRASBOURG NORD 3,LUZICK Michèle,PIAL_0670942K,,219,111,48.7576452,7.643426471,"48,73431328","7,736026999",7.268425086
0673082L,"E.P.PU ",ECOLE INTERCOMMUNALE ROSE DES VENTS,ECOLE INTERCOMMUNALE ROSE DES VENTS DONNENHEIM,ECOLE PRIMAIRE ECOLE INTERCOMMUNALE ROSE DES DONNENHEIM,COLLEGE MARCEL WEINUM BRUMATH,"ECOLE PRIMAIRE ","ECOLE INTERCOMMUNALE ROSE DES ",Hors EP,,1 rue des Cigognes,,67170,DONNENHEIM,0,0,1er degré,Public,ce.0673082L@ac-strasbourg.fr,0,,,HAGUENAU SUD,BASSE-ZORN,Basse-Zorn,OUEST,MUNDOLSHEIM Paul Emile Victor,STRASBOURG NORD 3,LUZICK Michèle,PIAL_0670942K,,168,163,48.71550998,7.65507562,"48,73431328","7,736026999",6.295336422
0670864A,"E.P.PU ",ECOLE PRIMAIRE,ECOLE PRIMAIRE BATZENDORF,ECOLE PRIMAIRE PUBLIQUE BATZENDORF,COLLEGE KLEBER,"ECOLE PRIMAIRE PUBLIQUE ",,Hors EP,,3 rue du Moulin,,67500,BATZENDORF,0,0,1er degré,Public,ce.0670864A@ac-strasbourg.fr,0388738545,,,HAGUENAU SUD,BASSE-ZORN,Basse-Zorn,OUEST,HAGUENAU Kléber,NORD 5,BELLO Anaël,PIAL_0671960S,,101,109,48.78430668,7.706661982,"48,73431328","7,736026999",5.961206204
